feature,importance_mean,importance_std
T,1.1087278539340515,0.017632248458015174
Fw,0.5876794665111587,0.011204535074067722
Fo,0.5851513280618389,0.010377545050411371
Fc,0.4173818475454717,0.006568681976109497
P,0.09168685986408023,0.002996844049409306
