feature,mean_abs_shap,corr,direction
T,0.10519369703876535,-0.9075100736499635,SINK (higher -> less carbon)
P,0.011071988332246936,0.3834420610114322,PROMOTER (higher -> more carbon)
Fw,0.07816561034569963,-0.9406605760435236,SINK (higher -> less carbon)
Fc,0.03428311895867926,0.6993320142749753,PROMOTER (higher -> more carbon)
Fo,0.0754923549406601,-0.9303636809054816,SINK (higher -> less carbon)
