noise,carbon_R2,carbon_RMSE
0%,0.9998758974486885,0.0023710228456533286
1%,0.9995445962671917,0.004541638127873596
3%,0.9969037544815311,0.011841535169466077
5%,0.9916444437808488,0.01945350610751327
10%,0.9674719618717649,0.03838197031606684
