hidden_layers,nodes,R2
2,16,0.9956131860081328
2,32,0.9987075786896842
2,64,0.9994325835475427
2,128,0.9995884295633053
3,16,0.9969557971084505
3,32,0.9990974446258537
3,64,0.999496883246566
3,128,0.9994490347753924
4,16,0.9968314301799308
4,32,0.999162430559162
4,64,0.999409714570481
4,128,0.9994747933872837
5,16,0.9972173166308963
5,32,0.9989845203816241
5,64,0.9993088609796619
5,128,0.9989377239434873
