Model,R2,RMSE,MAE
ANN,0.9998462318679547,0.0026935350105487645,0.002035214092784369
XGBoost,0.9983919216439612,0.008699108984809332,0.0057508152309501655
RF,0.9972528819994854,0.011385122443805356,0.007907514756542328
DT,0.9920295229870547,0.01933655350281584,0.013723236675142095
