max_depth,R2
1,0.40685409902340036
2,0.5432308213091896
3,0.6557638255298113
4,0.7378903585628882
5,0.8166509419480603
6,0.874140174437627
7,0.9131561246770158
8,0.9419033247226437
9,0.9625568272489247
10,0.975677896905285
11,0.9850365949603385
12,0.9909720184084486
13,0.9942651969121338
14,0.9959568421779516
15,0.9966446415445434
