scenario,T,P,Fw,Fc,Fo,FCH4,FH2O,FCO2,FO2,FCO,FH2,FCARBON,Q,QCALC_cal_s,XCH4,YCO,YH2,E_CO2,Coke_objective,objective_aspen,objective_ann,atom_closure,minimum_aspen_species,minimum_ann_species
1,798.14179338260351,1.4286218144532701,0.1545529159637043,0.91678385238551197,0.5619422509601415,0.0058741866799999999,0.61601465899999996,0.58508079800000001,1.85987013e-19,1.32582887,1.5267898799999999,0,-0.170707258576,-40.800013999999997,0.99412581332000005,1.32582887,1.5267898799999999,-0.33170305438551195,0,-4.1613768918479117,-4.1773922434767394,PASS,0,-0.0015789082972332
2,835.89093973113813,1.1434678512503726,0.61037744643553771,0.1668465743569478,0.52916128983036148,0.00307570744,0.58515930500000002,0.25346300300000002,7.3854848400000002e-19,0.91030786399999997,2.01906673,0,0.072358172985600003,17.294018399999999,0.99692429256000004,0.91030786399999997,2.01906673,0.086616428643052218,0,-3.9190630692614401,-3.9210250109899789,PASS,0,-4.6933091653045274e-05
3,987.72684490398115,1.6265612479794047,0.2327205528450341,0.99900967174826083,0.0049351936501495003,0.0022130589400000001,0.15488517099999999,0.088928499600000002,2.59136558e-17,1.9078681099999999,2.07340926,0,88.760647517600006,21214.303899999999,0.99778694105999999,1.9078681099999999,2.07340926,-0.91008117214826079,0,-5.889145483208261,-5.9071626977637584,PASS,0,0.0015782093396409999
4,821.87339329648205,1.0682932959278919,0.61409030342640292,0.31137496896832989,0.53573645779329016,0.00285557293,0.66465144700000001,0.335142314,5.7769257899999995e-19,0.97337708199999995,1.9437277100000001,0,-0.0212610248696,-5.0815068999999999,0.99714442706999995,0.97337708199999995,1.9437277100000001,0.023767345031670106,0,-3.8883557715513697,-3.8996654355460758,PASS,0,-0.000132568689878
5,745.28520254479781,1.0704564900518516,0.94064900521332062,0.30837961485264381,0.504794407462407,0.0138405423,0.82507947299999995,0.44737850400000001,1.3741209599999999e-20,0.84716056799999995,2.0878884499999999,0,0.30966784185199997,74.012390499999995,0.98615945770000002,0.84716056799999995,2.0878884499999999,0.1389988891473562,0,-2.9040822343674435,-2.9357251667755606,PASS,0,-0.00049042294267560003
