ann_threshold_epsilon,test_rows,aspen_positive,aspen_zero_or_negative,TP,FN_false_carbon_free,FP_false_carbon_positive,TN,false_carbon_free_rate,false_carbon_free_percent,recall,recall_percent,specificity,precision,accuracy,max_Aspen_FCARBON_among_false_carbon_free
0,9293,5348,3945,5347,1,2838,1107,0.00018698578908002991,0.018698578908002993,0.99981301421091995,99.981301421091999,0.28060836501901143,0.65326817348808797,0.69450123749058434,0.0065615889999999996
9.9999999999999995e-07,9293,5348,3945,5347,1,2835,1110,0.00018698578908002991,0.018698578908002993,0.99981301421091995,99.981301421091999,0.28136882129277568,0.65350769982889267,0.69482406112127404,0.0065615889999999996
0.0001,9293,5348,3945,5347,1,2696,1249,0.00018698578908002991,0.018698578908002993,0.99981301421091995,99.981301421091999,0.31660329531051967,0.66480169091135144,0.70978155600989989,0.0065615889999999996
0.001,9293,5348,3945,5346,2,1320,2625,0.00037397157816005983,0.037397157816005985,0.9996260284218399,99.962602842183983,0.66539923954372626,0.80198019801980203,0.85774238674270953,0.0080101059999999995
