scenario,variable,ann,aspen,signed_error_ann_minus_aspen,absolute_error,relative_error_percent
1,FCH4,0.0035829935222863999,0.0058741866799999999,-0.0022911931577136,0.0022911931577136,-39.004432145721317
1,FH2O,0.61544835567474365,0.61601465899999996,-0.00056630332525631211,0.00056630332525631211,-0.091930170326727914
1,FCO2,0.58186513185501088,0.58508079800000001,-0.0032156661449891377,0.0032156661449891377,-0.5496106103603724
1,FCO,1.3313161134719849,1.32582887,0.0054872434719848151,0.0054872434719848151,0.41387267966074798
1,FH2,1.530769944190979,1.5267898799999999,0.0039800641909790713,0.0039800641909790713,0.26068185564467267
1,FCARBON,-0.0015789082972332,0,-0.0015789082972332,0.0015789082972332,
1,Q,-0.16029541194438929,-0.170707258576,0.010411846631610711,0.010411846631610711,6.0992407226639909
2,FCH4,0.0016196749638766,0.00307570744,-0.0014560324761233999,0.0014560324761233999,-47.339758560502105
2,FH2O,0.58667528629302967,0.58515930500000002,0.0015159812930296557,0.0015159812930296557,0.25907155198184117
2,FCO2,0.25280743837356562,0.25346300300000002,-0.00065556462643440172,0.00065556462643440172,-0.25864312293120023
2,FCO,0.91277879476547241,0.91030786399999997,0.0024709307654724455,0.0024709307654724455,0.27143902224626343
2,FH2,2.0218405723571777,2.01906673,0.0027738423571777027,0.0027738423571777027,0.13738240128287899
2,FCARBON,-4.6933091653045274e-05,0,-4.6933091653045274e-05,4.6933091653045274e-05,
2,Q,-0.11974681168794631,0.072358172985600003,-0.19210498467354631,0.19210498467354631,-265.49175683550931
3,FCH4,0.0015782093396409999,0.0022130589400000001,-0.00063484960035900019,0.00063484960035900019,-28.68652022250253
3,FH2O,0.1499333977699279,0.15488517099999999,-0.0049517732300720929,0.0049517732300720929,-3.1970608923381652
3,FCO2,0.084223158657550798,0.088928499600000002,-0.0047053409424492043,0.0047053409424492043,-5.2911507150281487
3,FCO,1.9197264909744265,1.9078681099999999,0.011858380974426597,0.011858380974426597,0.62155140139255205
3,FH2,2.0794146060943604,2.07340926,0.0060053460943603199,0.0060053460943603199,0.28963631108507348
3,FCARBON,0.0051867030560970003,0,0.0051867030560970003,0.0051867030560970003,
3,Q,89.250869750976562,88.760647517600006,0.49022223337655646,0.49022223337655646,0.55229681969067679
4,FCH4,0.0018741292878984999,0.00285557293,-0.00098144364210150004,0.00098144364210150004,-34.369412589350333
4,FH2O,0.6662939190864563,0.66465144700000001,0.0016424720864562925,0.0016424720864562925,0.24711780796834593
4,FCO2,0.33238697052001948,0.335142314,-0.002755343479980521,0.002755343479980521,-0.82214133067677064
4,FCO,0.97746503353118885,0.97337708199999995,0.0040879515311889048,0.0040879515311889048,0.41997614355059421
4,FH2,1.9452911615371704,1.9437277100000001,0.0015634515371703017,0.0015634515371703017,0.080435728169471934
4,FCARBON,-0.000132568689878,0,-0.000132568689878,0.000132568689878,
4,Q,-0.0020462868269532,-0.0212610248696,0.019214738042646798,0.019214738042646798,90.375408337539369
5,FCH4,0.011032627895474399,0.0138405423,-0.0028079144045256004,0.0028079144045256004,-20.287603936773493
5,FH2O,0.83010751008987416,0.82507947299999995,0.0050280370898742044,0.0050280370898742044,0.60940033710839936
5,FCO2,0.4437378048896789,0.44737850400000001,-0.0036406991103211106,0.0036406991103211106,-0.81378498916906172
5,FCO,0.84929364919662464,0.84716056799999995,0.0021330811966246976,0.0021330811966246976,0.25179184173556785
5,FH2,2.0868320465087886,2.0878884499999999,-0.0010564034912112774,0.0010564034912112774,-0.05059674003231722
5,FCARBON,-0.00049042294267560003,0,-0.00049042294267560003,0.00049042294267560003,
5,Q,0.047160618007182999,0.30966784185199997,-0.26250722384481695,0.26250722384481695,-84.770579429515777
